"Time","T0.3","T0.3_sd","unique_sample"
5,45.1902560551722,2.02628546374984,1
15,42.8517621982946,1.39695648097937,1
30,41.6466303561811,1.31411211333905,1
60,40.4036090285178,2.0447131980501,1
5,45.6556170387085,2.31225491138829,2
15,42.9343462440881,1.38720310111453,2
30,41.5272941894002,1.16986805682278,2
60,40.1619095675989,2.1909608302243,2
5,47.8649173006231,1.89851952179804,3
15,42.8077768445286,0.964045410298302,3
30,40.821883240338,0.901873638483742,3
60,39.2580595482829,1.06131447804093,3
5,45.4523067027538,2.85448802973766,4
15,41.8787378326604,1.21213063521106,4
30,40.2249662901427,0.733934806847769,4
60,38.5651962758023,2.06921454178608,4
5,49.3476590488913,2.8034058984915,5
15,43.6597826187643,1.05646965884185,5
30,41.2596465626225,0.813506495887673,5
60,39.2981911955843,1.29343968650384,5
